ID;Apraksts;Vietas tips;Balsu skaits;Atrašanās vieta;RDSD atbildes statuss
1010;"Zem vienas no estakādēm nepiedodami &scaron;aura ietve, kur pat viens velosipēdists vai ratiņkrēslā brauco&scaron;s cilvēks nevar izbraukt. Nepiecie&scaron;ams veikt nelielu pārbīdi otrā pusē eso&scaron;ajām barjerām un uz brauktuves rēķina pie&scaron;ķirt vēl metru gājējiem...";Šaurība, nepārredzamība;15;56.93889932904746, 24.12994623184204;Nav
288;"Barjeras padara neiespējamu brauk&scaron;anu ar velosipēdu, visi tās apbrauc pa zālienu. Nepiecie&scaron;ams &scaron;īs barjeras demontēt un velosipēdistiem ierīkot tādas pa&scaron;as automātiskās barjeras kā uz brauktuves.";Šaurība, nepārredzamība;14;57.041526572818704, 24.102818369865417;Nav
279;"&Scaron;merļa ielas veloceļa savienojums ar Brīvības gatves veloceļu ir ļoti &scaron;aurs un neērts. Ir gana daudz vietas, lai ietvi/veloceļu uz brauktuves rēķina papla&scaron;inātu!";Šaurība, nepārredzamība;14;56.9843956803582, 24.20935571193695;Nav
472;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties invalīdi ratiņkrēslos un velosipēdisti nevar pārsist riepu.";Segums (bedres, augstas apmales);14;56.96077118397543, 24.129479527473453;Nav
1639;"Ļoti &scaron;aura uzbrauca daļa ietvei, kas rada  neērtības izmainīties diviem pretīmbrauco&scaron;ajiem. ";Segums (bedres, augstas apmales);14;56.93418809916277, 24.13952385377343;Nav
456;Gājēju pāreja ierīkota visneloģiskākajā vietā - tā ved uz koku, diviem stabiem un ēku. Tā kā krustojumā gājējiem ir zaļais cikls visos virzienos, nekas netraucē gājēju pāreju pārvirzīt uz ietves loģisko turpinājumu, kur tā būtu daudz ērtāka. ;Cits;14;56.953364978321765, 24.15353894233704;Nav
269;"Velojoslu nepiecie&scaron;ams norobežot no brauktuves ar stabiņiem, lai autovadītāji nevarētu pa to braukt un uz tās novietot automa&scaron;īnas, tādējādi apdraudot velosipēdistus. ";Cits;14;56.95774979360991, 24.111176133155826;Nav
261;"Zaļā veloceliņa mar&scaron;rutā trūkst gājēju pāreja. ļoti grūti ar bēnu &scaron;ķērsot ielu.";Cits;14;56.94166181209357, 24.083425998687748;Nav
3632;"stabs uz ietves, tie&scaron;i kur iespējams izvairīties no gājējiem ar velo";Cits;14;56.97167890877723, 24.1621595621109;Nav
593;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas pārejas platumā!";Segums (bedres, augstas apmales);14;56.94719201595255, 24.13732767105103;Nav
1665;"Brauktuvē iestrādātais &scaron;ķērslis apgrūtina ar velosipēdu pārvietoties centra virzienā. ";Segums (bedres, augstas apmales);14;56.94485382977295, 24.115879399228113;Nav
2207;Zemitānu tilta centra galā abās pusēs nav ietvju;Šaurība, nepārredzamība;14;56.9641087235705, 24.152248675364454;Nav
526;"Ietve ar kāpnēm, nepiecie&scaron;ams izveidot normālu ietvi bez &scaron;ķēr&scaron;ļiem, lai pieejama visiem, arī invalīdiem ratiņkrēslos un velobraucējiem";Segums (bedres, augstas apmales);14;56.96796830130412, 24.14507925510407;Nav
484;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);14;56.97470501710095, 24.14496660232544;Nav
972;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);14;56.96057230036995, 24.123691320419315;Nav
1474;"Bērzaunes iela segums ir kritiskā stāvoklī.  Daudz bedru, aku iesēdumi, iztrūksto&scaron;i ietves posmi. ";Segums (bedres, augstas apmales);14;56.96967306284926, 24.15902137756348;Nav
409;"Ceļā no Pērnavas ielas uz Zemitāna dzelzceļa staciju ir jā&scaron;ķērso &scaron;ī brauktuve ar ļoti augstām apmalēm. &Scaron;is krustojums nav pieejams nevienam, ne velo, ne invalīdiem, ne bērnu ratiem. Lūdzu steidzami nolīdzināt apmales!";Segums (bedres, augstas apmales);14;56.96459363759757, 24.154735207557678;Nav
592;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas pārejas platumā!";Segums (bedres, augstas apmales);14;56.947227125737705, 24.136410355567932;Nav
358;"Lai tiktu uz dzelzceļa pārejas ritenis periodā ir jānes 10 m aug&scaron;ā un pēc tam leja";Cits;13;56.94299504630369, 24.155096838696792;Nav
2052;"Nav dro&scaron;a veida kā &scaron;ķērsot &scaron;o ielu un krustojumu, lai nokļūtu uz Salu tilta no centra puses, kā arī otrā virzienā.";Šaurība, nepārredzamība;13;56.93981805706746, 24.128019483760003;Nav
281;Augsta apmale;Segums (bedres, augstas apmales);13;56.98248405688533, 24.15078163146973;Nav
1819;Pietura pie Rsu dienesta viesnīcas. Bīstamas apmales.;Segums (bedres, augstas apmales);13;56.931787334910815, 24.071238040924072;Nav
1620;Dziļas bedres pa visu ietvi. Bīstami!;Segums (bedres, augstas apmales);13;56.931187733618046, 24.14957667133422;Nav
197;Dziļas bedres ielas vidū.;Segums (bedres, augstas apmales);13;56.945895914340944, 24.07020449660195;Nav
2013;Bieķensalas ielas posmā no Jelgavas ielas līdz Riga Plaza vispār nav  ietves. Lietus laikā veidojas lielas peļķes.;Segums (bedres, augstas apmales);13;56.928982978931465, 24.09979870542884;Nav
51;"Barona ielas veloceļ&scaron;";Šaurība, nepārredzamība;13;56.95438298008372, 24.128036499023438;Nav
2533;"Ietves vidū pārsteigums - &quot;bedre&quot;, kurā tumsā var nejau&scaron;i iebraukt un avarēt. Vienreiz jau iezīmēju to ar baloniņiem, bet &scaron;ī nejēdzība būtu beidzot jāatrisina inženieriem ar kārtīgu risinājumu...";Segums (bedres, augstas apmales);13;56.96868179590327, 24.159879684448242;Nav
1663;"Būtu ļoti jauki &scaron;ajā pārbrauktuvē pār sliedēm kādu lēzenāku segumu, lai ar velosipēdu varētu ērtāk &scaron;ķērsot Maskavas ielu.";Segums (bedres, augstas apmales);13;56.942792627985476, 24.11355961638037;Nav
591;Vajadzētu demontēt kāpnes un izveidot līdzenu asfaltētu celiņu.;Segums (bedres, augstas apmales);13;56.94699891154326, 24.13351893424988;Nav
552;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);13;56.95960126517113, 24.142713546752933;Nav
357;"Pat ar riteni ir jābrauc ļoti ātri lai paspētu pie zaļās gaismas &scaron;ķērsot abus luksoforus. Nav ērti &scaron;ķērso&scaron;ana Bauskas iela, lai gar Daugavas malu brauktu līdz Lucavsalai.";Cits;12;56.91486793669603, 24.12254057147698;Nav
4456;Visas Vecās Buļļu ielas garumā briesmīgs segums;Segums (bedres, augstas apmales);12;56.96536860907393, 24.056475162506107;Nav
355;Ritenbrauceju un kajamgajeju autovaditaji pamana pedeja bridi pat braucot ar 50km/h loti aizsedz seta un krumi.;Strauji pagriezieni;12;56.920957713379394, 24.165147721908784;Nav
273;"Nepiecie&scaron;ams izveidot trūksto&scaron;o gājēju/veloceļa posmu starp Dienvidu tiltu un Ķengaraga promenādi - tur pat ietves nav, tikai taciņa!";Cits;12;56.91634407951915, 24.164369702339176;Nav
2016;"Bīstams krustojums, kuru gan gājējiem, gan riteņbraucējiem &scaron;ķērsot ir riskanti.";Šaurība, nepārredzamība;12;56.929950581142656, 24.097596737556163;Nav
340;"Vairums &scaron;ķērsielā ir ar lielām apmalēm un bedrēm kur krājas udens";Segums (bedres, augstas apmales);12;56.90794713624666, 24.127836312797807;Nav
408;"Nav ne veloceļa, ne ietves, ar velosipēdu nav iespējams dro&scaron;i un ērti &scaron;ķērsot dzelzceļu.";Cits;12;56.96419006116285, 24.151457548141483;Nav
469;"Nepiecie&scaron;ams nolīdzināt ietves apmali, kur ir gludais bruģis, atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties invalīdi ratiņkrēslos un velosipēdisti nevar pārsist riepu.
";Segums (bedres, augstas apmales);12;56.9581007905453, 24.130965471267704;Nav
1598;Jānolīdzina apmales ;Segums (bedres, augstas apmales);12;56.9261583005562, 24.158858468072143;Nav
467;"Nepiecie&scaron;ams nolīdzināt ietves apmali atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties invalīdi ratiņkrēslos un velosipēdisti nevar pārsist riepu.
";Segums (bedres, augstas apmales);12;56.953160204493635, 24.14179086685181;Nav
1602;Augstas apmales;Segums (bedres, augstas apmales);12;56.93071652349086, 24.15055429256427;Nav
558;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);12;56.96531304561774, 24.131984710693363;Nav
1021;"Nepiecie&scaron;ama gājēju pāreja, tuneļi nav pieejami divriteņiem, invalīdiem ratiņkrēslos un senioriem, kam pārvieto&scaron;anās sagādā grūtības. Tāpēc liela daļa cilvēku jau &scaron;obrīd nelegāli iet pa aug&scaron;u. ";Cits;12;56.94492151297911, 24.12044048309326;Nav
268;Ceļazīmes pārējā ir saliktas bīstami traucē izbraukt likumu un ziema neļauj tehnikai tīrīt pāreju no sniega un uzkaisit smiltis.;Strauji pagriezieni;12;56.912436994878504, 24.15258120649884;Nav
500;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);12;56.96490655254909, 24.154585003852848;Nav
4697;"Starp Swedbank skvēru un veloceliņa nobrauktuvi no Van&scaron;u tilta, ZEM tilta, ir neliels ceļa posms vispār bez seguma. ";Segums (bedres, augstas apmales);12;56.95054875192297, 24.090796709060672;Nav
3402;"Smilu un Torņa ielas stūris - nepārredzams pagrieziens, kur ietves izbraucamo daļu bīstami sa&scaron;aurina ceļa zīmes stabs un nobrauktuve.";Šaurība, nepārredzamība;12;56.95136624710404, 24.10938323882874;Nav
994;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);12;56.95251369688249, 24.098151326179508;Nav
275;"Nepiecie&scaron;ams visā veloceļa platumā un kārtīgi nolīdzināt apmales, lai tās ir nulles līmenī. &Scaron;obrīd tās ir 2-4 cm augstumā zemākajās vietās, invalīdiem pilnīgi nepieejams krustojums.";Segums (bedres, augstas apmales);12;56.94610067031143, 24.206888079643253;Nav
1652;Ietvei vajadzīga nobrauktuve, virzienā uz pazemes tuneli. Augsta apmale.;Segums (bedres, augstas apmales);12;56.9465319922513, 24.114585094102953;Nav
478;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);12;56.96931047858935, 24.136254787445072;Nav
2232;"Strauj&scaron; pagrieziens, nevar redzēt neko aiz stūra.
&Scaron;aurs, nevar izmainīties ar ne vienu, ja esi jau iebraucis iek&scaron;ā. 
Zems, braucot normāli nevar neatsist galvu. 

&Scaron;is skaitās velo celiņ&scaron;! ";Šaurība, nepārredzamība;12;56.926541736310504, 24.07164573669434;Nav
555;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);12;56.96343846151385, 24.136646389961246;Nav
990;"Ietvē pēk&scaron;ņ&scaron; &quot;caurums&quot;";Segums (bedres, augstas apmales);12;56.958217788789156, 24.098044037818912;Nav
1600;"&Scaron;auri un bīstami. ";Šaurība, nepārredzamība;12;56.92427079968031, 24.162740526553534;Nav
4702;Kāpnes. Nevar turpināt kustību;Cits;11;56.93901299169754, 24.10062396570604;Nav
1002;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);11;56.94280303243325, 24.114233851432804;Nav
962;"Uz &scaron;aurās ietuves, vidū novietotas vairākas ceļazīmes, kas traucē gājējiem un velosipēdistiem.";Šaurība, nepārredzamība;11;56.94435971771041, 24.132601618766788;Nav
446;Augsta apmale Čiekurkalna 1.līnijas un Augstrozes iela krustojumā. Pa ietvi brauc daudz velo, jo vienvirziena iela.;Segums (bedres, augstas apmales);11;56.98339603628963, 24.160459041595463;Nav
479;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);11;56.97061459581728, 24.138395190238956;Nav
1123;"Jaunciema gatve visā garumā ir velosipēdistiem suicidāla. Samainī&scaron;anās vienā &scaron;ķērsgtiezumā ar fūri un citu auto ir neiespējama. Un tas viss pie 70km/h. Jaunciema 3000 iedzīvotājiem nokļū&scaron;ana centrā ar velosipēdu ir kritiski bīstama. ";Šaurība, nepārredzamība;11;57.044633090306114, 24.11708235740662;Nav
3048;"Pie sabiedriskā transporta pieturas &quot;Ierēdņu iela&quot; centra virzienā ietve sa&scaron;aurinās. Noslogota pietura un liela velo plūsma, rezultātā &ndash; izmīdīta zaļā zona un daudz konfliktsituācijas.";Šaurība, nepārredzamība;11;56.97348695126534, 24.135190369561318;Nav
477;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);11;56.969067779088796, 24.136109948158268;Nav
289;Nobrauktuve novirzīta ēkas durvīs, nav ērti ne ar bērnu ratiņiem, ne ar velosipēdu, ne invalīdu ratiem ....ir neredzīgo bruģis;Cits;11;56.94516144379569, 24.133272171020508;Nav
711;Liepājas un Atpūtas ielu krustojumā augstas apmales;Segums (bedres, augstas apmales);11;56.92912364653943, 24.063695669174198;Nav
3114;Gardenes ielas abās pusēs augstas apmales;Segums (bedres, augstas apmales);11;56.92898899350596, 24.075572490692142;Nav
1009;Briesmīgs apaļbruģis gājēju pārejā, ar ratiņkrēslu nepārvarams...;Segums (bedres, augstas apmales);11;56.93962215952604, 24.127897024154667;Nav
510;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);11;56.97134558326373, 24.136710762977604;Nav
3128;"Nīcgales un A.Deglava ielu krustojumā (iepretī Latvijas Aptiekai) &scaron;ķietami zemās apmales veido bedres, caur kurām ir grūti izbraukt ar velosipēdu.";Segums (bedres, augstas apmales);11;56.951124831233706, 24.17143835507288;Nav
233;Augstas apmales.;Segums (bedres, augstas apmales);11;56.96767003311814, 24.145653247833252;Nav
3137;"Bruģis/birsto&scaron;as smiltis - neiespējams uzbraukt ar velosipēdu, kam nav kalnu riteņa riepas.";Segums (bedres, augstas apmales);11;56.92565965247917, 24.090057970024645;Nav
2056;"Posmā, kurā veloceliņ&scaron; atrodas starp kokiem, trūkst apgaismojuma. Naktī ļoti apgrūtināta redzamība.";Šaurība, nepārredzamība;11;56.93599778365653, 24.131321995519105;Nav
712;Liepājas un Atpūtas ielu krustojumā augstas apmales;Segums (bedres, augstas apmales);11;56.92912364653943, 24.063695669174198;Nav
2517;"Veloceļiem jābūt BEZ apmalēm! Vietās kur veloceļ&scaron; krustojas ar brauktuvi tam ar brauktuvi jābūt savienotam tikai ar asfaltu, bez apmalēm! Apmales salā iegrimst zemē un rada bedres efektu! Tādēļ lūdzu izņemt apmales un vienkār&scaron;i noasfaltēt savienojuma vietu.";Segums (bedres, augstas apmales);11;56.97147131165864, 24.161617755889893;Nav
1008;"Apmales augstums. Arī uz priek&scaron;u pa Lielvārdes ielu vēl ir tādas vietas.";Segums (bedres, augstas apmales);11;56.96116894800204, 24.200289845466617;Nav
2927;Daugavas ielā no Cēres līdz Robežu, uz ietvēm augstas un bīstamas apmales. ;Segums (bedres, augstas apmales);11;56.91791260513189, 24.07447815137857;Nav
1000;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.947589924914844, 24.103682041168216;Nav
5219;"&Scaron;ajā posmā jāatjauno &quot;kopīgais gājēju un velosipēdu ceļ&scaron;&quot;, paplatinot to un atjaunojot ceļa segumu. Kā redzams - vietas pietiek. Auto novieto&scaron;anu varētu pārlikt uz brauktuves kreiso pusi, lai neveidojas bīstamas situācijas, kad velosipēdists brauc durvju zonā.";Segums (bedres, augstas apmales);10;56.951217722519935, 24.049469232559208;Nav
1594;"Velosipēdistiem būtu jāierīko apbraucams celiņ&scaron; pa aizmuguri pieturai. Veidojas bīstamas situācijas. ";Šaurība, nepārredzamība;10;56.92155501499289, 24.17016550778499;Nav
1004;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.94258064351715, 24.115456938743595;Nav
515;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);10;56.97107365760923, 24.137547612190247;Nav
1070;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.958846648056955, 24.112409949302673;Nav
3422;Volguntes ielas un Irlavas ielas krustojuma, ceļa labās malas ietve nav pielāgota velosipēdistiem, kājāmgājējiem, māmiņām ar ratiņiem un cilvēkiem ar kustību traucējumiem.  ;Cits;10;56.93755898282772, 24.03946459293366;Nav
559;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);10;56.963865442162785, 24.130450487136844;Nav
4335;"Gustava Zemgala pārvads ir noslogots gājēju un riteņbraucēju posms, kas ir ļoti &scaron;aurs, gaismas stabu un ceļa atdalo&scaron;o barjeru konstrukcijas dēļ! ";Šaurība, nepārredzamība;10;56.979359981389, 24.163040512412415;Nav
72;Pie gājēju pārejas uz joslas, kas griežas pa kreisi uz sliežu ielu. Pamanīju vakar tāpēc pievienoju nesaistītu attēlu.;Segums (bedres, augstas apmales);10;56.99557161543604, 24.12970250410581;Nav
973;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.96190012079851, 24.121921062469482;Nav
473;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties invalīdi ratiņkrēslos un velosipēdisti nevar pārsist riepu.
";Segums (bedres, augstas apmales);10;56.962669299095, 24.13101375102997;Nav
982;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.96283600104295, 24.10355865955353;Nav
988;"Sabrucis ceļa segums. Nav pārbrauktuves lai &scaron;ķērsotu Dzelzavas ielu u turpinātu kustību pa Lielvārdes ielu Deglavas ielas virzienā.";Segums (bedres, augstas apmales);10;56.95486856883107, 24.208014607429508;Nav
2883;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.95758306890756, 24.070739150047306;Nav
4494;Nav 0 līmenī, cilvēki brauc pa zāli;Segums (bedres, augstas apmales);10;56.929800894988944, 24.065689765848223;Nav
4497;Nepārredzams krustojums ar Aisteres ielu. ;Šaurība, nepārredzamība;10;56.95298175790112, 24.072475433295043;Nav
290;"Uzstādītās barjeras ļoti ierobežo velo efektīvo telpu un tās neko nedod, jo zem tām var izbraukt mazi bērni un no auto tās nepasargā. Nepiecie&scaron;ams tās likvidēt un uz baltās līnijas uzstādīt pagaidu betona zemās barjeras. ";Šaurība, nepārredzamība;10;57.04441276812778, 24.101986885070804;Nav
3872;"Nepārredzams, bīstams krustojums ar augstu satiksmes intensitāti, kuru ar velosipēdu (vai kājām) ļoti sarežģīti &scaron;ķērsot; nepiecie&scaron;ams luksofors. ";Cits;10;56.97558795116599, 24.03463661670685;Nav
2537;"Automa&scaron;īnām uz ietves izveidota stāvvieta, gājējiem un velosipēdistiem neatstājot praktiski neko! ";Šaurība, nepārredzamība;10;56.95079644801254, 24.127977490425113;Nav
969;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.95501190405925, 24.13409292697907;Nav
351;"Ar riteni braucot ir neiespējami &scaron;ķērsot pāreju jo barjeras ir saliktas ļoti nepārdomāti.";Strauji pagriezieni;10;56.926217165361436, 24.077687857759337;Nav
1596;"Bīstama dziļa bedre &scaron;uves vietā.";Segums (bedres, augstas apmales);10;56.924052778812644, 24.16321336788315;Nav
541;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);10;56.95348491675581, 24.14657592773438;Nav
998;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.949895372668124, 24.100699424743656;Nav
999;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.94831258694937, 24.102442860603336;Nav
1115;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);10;56.96453807298561, 24.128690958023075;Nav
544;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);9;56.953809626189326, 24.152144193649296;Nav
1007;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos. Apmaļu pazeminā&scaron;ana jāveic visas ietves platumā!";Segums (bedres, augstas apmales);9;56.94104144176906, 24.120419025421146;Nav
963;"Uz gājēju ietvēm novietoti metālā sķēr&scaron;ļi, kas traucē gan gājēju, gan velosipēdistu kustībai.";Cits;9;56.94473717483962, 24.13304150104523;Nav
3306;Augstas apmales. ;Segums (bedres, augstas apmales);9;56.95219540356758, 24.22029788490962;Nav
480;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);9;56.97076079445416, 24.138094782829288;Nav
4427;"Veloceļ&scaron; turpinās zālājā";Segums (bedres, augstas apmales);9;56.975903697339845, 23.851463198661808;Nav
4849;"Duntes un Bukultu ielas krustojums bez luksofora - grūti &scaron;ķērsojama Bukultu iela, jo automa&scaron;īnas neapstājas. Nav pat marķējuma gājējiem / velopbraucējiem. Kopumā kā veloslazds ir Duntes ielas posms no &scaron;īs vietas līdz Skanstes ielai (&scaron;auras ietves, grūti &scaron;ķērsojami krustojumi).";Cits;9;56.981358666894856, 24.136050939559937;Nav
2873;"Ozolciema ielas turpinājums pēc Līvciema ielas krustojuma virzienā uz Dienvidu tiltu - nav infrastruktūras, nav ceļa. Ir bedres, smiltis (karstā laikā velo grimst 4 cm smil&scaron;u, stūri nevar novadīt).";Segums (bedres, augstas apmales);9;56.90136314113291, 24.106439352035526;Nav
545;"Nepiecie&scaron;ams nolīdzināt ietves apmales atbilsto&scaron;i RD saisto&scaron;ajiem noteikumiem 0 cm līmenī ar brauktuvi, lai pa to var pārvietoties cilvēki ratiņkrēslos.";Segums (bedres, augstas apmales);9;56.95386813209281, 24.15174186229706;Nav
